AP;num_firms
1302603999001;5795
1302603999002;1427
1302603999003;337
1302603999004;446
1302603999005;374
1302603999006;1366
1302603999007;627
1302603999008;536
1302603999009;778
1302603999010;621
1302603999011;479
1302603999012;305
1302603999013;313
1302603999014;294
1302603999015;912
1302603999016;215
1302603999017;677
1302603999018;376
1302603999019;564
1302603999020;140
1302603999021;1254
1302603999022;1629
1302603999023;457
1302603999024;1024
1302603999025;697
1302603999026;174
1302603999027;84
1302603999028;208
1302603999029;927
1302603999030;106
1302603999031;160
1302603999032;1088
1302603999033;242
1302603999034;55
1302603999035;109
1302603999036;753
1302603999037;236
1302603999038;106
1302603999039;124
1500800999001;292
1500800999002;127
1500800999003;252
1500800999004;889
1500800999005;327
1500800999006;121
1500800999007;917
1500800999008;236
1500800999009;80
1500800999010;590
1500800999011;91
1500800999012;59
1500800999013;51
1500800999014;63
1500800999015;77
1501303001001;632
1501303001002;70
1501402999001;5369
1501402999002;527
1501402999003;512
1501402999004;332
1501402999006;129
1501402999007;1788
1501402999008;1224
1501402999009;2412
1501402999010;1108
1501402999011;80
1501402999012;79
1501402999013;428
1501402999014;167
1501402999015;457
1501402999016;467
1501402999017;810
1501402999018;321
1501402999019;88
1501402999020;36
1501402999021;95
1501402999022;237
1501402999023;186
1501402999024;38
1501402999025;575
1501402999026;1165
1501402999027;483
1501402999028;213
1501402999029;806
1501402999030;471
1501402999031;337
1501402999032;294
1501402999033;297
1501402999034;207
1501402999035;89
1501402999036;401
1501402999037;90
1501402999038;91
1501501001001;379
1504422001001;452
1600303999001;1931
1600303999002;349
1600303999003;181
1600303999004;118
1600303999005;253
1600303999006;75
1600303999007;123
1600303999008;694
1600303999009;269
1600303999010;709
1600303999011;119
1600303999012;118
1600303999013;451
1600303999014;11
1600600001001;1090
2107506001001;743
2109452001001;139
2111201001005;571
2111201001010;415
2111300999001;779
2111300999002;491
2111300999003;299
2111300999004;723
2111300999005;1069
2111300999006;224
2111300999007;293
2111300999008;318
2111300999009;332
2111300999010;291
2111300999011;642
2111300999012;1574
2111300999013;497
2111300999014;762
2111300999015;152
2111300999016;140
2111300999017;473
2111300999018;393
2111300999019;186
2111300999020;502
2111300999021;223
2111300999022;750
2111300999023;83
2111300999024;1008
2111300999025;90
2111300999026;60
2111300999027;264
2111300999028;3
2111300999029;1388
2111300999030;521
2111300999031;130
2111300999032;487
2111300999033;541
2111300999034;1781
2111300999035;347
2111300999036;3352
2112209999001;388
2112209999002;610
2112209999003;45
2112209999004;117
2112209999005;161
2112209999006;3
2203305001001;135
2211001999001;638
2211001999002;576
2211001999003;428
2211001999004;108
2211001999005;143
2211001999006;30
2211001999007;320
2211001999008;677
2211001999009;101
2211001999010;201
2211001999011;204
2211001999012;5190
2211001999013;939
2211001999014;981
2211001999015;522
2211001999016;873
2211001999017;1286
2211001999018;89
2211001999019;55
2211001999020;418
2211001999021;118
2211001999022;615
2211001999023;2241
2211001999024;710
2211001999025;284
2211001999026;463
2211001999027;328
2211001999028;200
2211001999029;386
2211001999030;68
2211001999031;54
2211001999032;10
2301000001005;855
2301000001099;133
2301901001001;825
2303709001001;1141
2303709001002;500
2303709001003;387
2303709001004;303
2303709005001;201
2303709005002;255
2303709005003;189
2303709005004;182
2303709005005;289
2303709501001;6
2304202001005;2459
2304202001099;7
2304285001001;1034
2304400999001;1189
2304400999002;1225
2304400999003;822
2304400999004;297
2304400999005;429
2304400999006;601
2304400999007;425
2304400999008;590
2304400999009;1337
2304400999010;1455
2304400999011;1002
2304400999012;768
2304400999013;1106
2304400999014;1561
2304400999015;2549
2304400999016;1349
2304400999017;9846
2304400999018;2635
2304400999019;5797
2304400999020;1725
2304400999021;1084
2304400999022;2815
2304400999023;1367
2304400999024;342
2304400999025;550
2304400999026;1293
2304400999027;471
2304400999028;672
2304400999029;1041
2304400999030;505
2304400999031;648
2304400999032;337
2304400999033;315
2304400999034;349
2304400999035;865
2304400999036;1042
2304400999037;397
2304400999038;979
2304400999039;653
2304400999040;464
2304400999041;251
2304400999042;225
2304400999043;584
2304400999044;1223
2304400999045;623
2304400999046;263
2304400999047;539
2304400999048;180
2304400999049;817
2304400999050;1599
2304400999051;629
2304400999052;629
2304400999053;436
2304400999054;811
2304400999055;1086
2304400999056;442
2304400999057;1191
2304400999058;483
2304400999059;395
2304400999060;602
2304400999061;582
2304400999062;838
2304400999063;432
2304400999064;634
2304400999065;2013
2304400999066;1112
2304400999067;505
2304400999068;301
2304400999069;660
2304400999070;638
2304400999071;624
2306256001001;337
2307304999001;835
2307304999002;153
2307304999003;434
2307304999004;278
2307304999005;2088
2307304999006;572
2307304999007;798
2307304999008;174
2307304999009;391
2307304999010;295
2307650999001;1091
2307650999002;468
2307650999003;377
2307650999004;361
2307650999005;1055
2307700001005;1319
2307700001099;3
2309706001001;496
2403251001001;562
2403251001002;247
2403251001003;1130
2403251001004;369
2403251001005;604
2403608001001;214
2407104001001;720
2407104001002;61
2408102999001;896
2408102999002;431
2408102999003;515
2408102999004;381
2408102999005;533
2408102999006;3341
2408102999007;1230
2408102999008;851
2408102999009;667
2408102999010;766
2408102999011;1512
2408102999012;2370
2408102999013;537
2408102999014;3472
2408102999015;3876
2408102999016;563
2408102999017;306
2408102999018;360
2408102999019;256
2408102999020;1041
2408102999021;813
2408201001001;274
2412005001005;81
2412005001099;571
2412203001001;387
2501807001001;72
2501807001002;355
2501807001003;469
2501807001004;218
2503209001001;1528
2504009999001;3185
2504009999002;691
2504009999003;208
2504009999004;257
2504009999005;383
2504009999006;1790
2504009999007;514
2504009999008;499
2504009999009;330
2504009999010;262
2504009999011;128
2504009999012;215
2504009999013;307
2504009999014;229
2504009999015;226
2504009999016;211
2504009999017;73
2504900001001;87
2507507999001;1285
2507507999002;123
2507507999003;493
2507507999004;4730
2507507999005;527
2507507999006;499
2507507999007;203
2507507999008;348
2507507999009;1152
2507507999010;178
2507507999011;292
2507507999012;335
2507507999013;427
2507507999014;783
2507507999015;399
2507507999016;1118
2507507999017;262
2507507999018;1141
2507507999019;351
2507507999020;109
2507507999021;878
2507507999022;518
2507507999023;1401
2507507999024;2013
2507507999025;266
2507507999026;267
2508307001001;297
2512507001001;150
2512507001002;224
2513703001001;226
2513703001002;91
2513703001003;176
2513703001004;635
2513703001005;132
2600054001001;463
2600054001002;137
2600054001003;117
2600054001004;63
2600054001005;157
2602902001005;1264
2602902001099;1129
2603454001001;282
2603454001002;571
2603454001003;459
2603454001004;124
2603454001005;58
2603454001006;252
2605202001001;739
2606804001001;870
2606804001002;187
2606804001003;158
2606804001004;64
2607604001001;253
2607752001001;176
2607901001001;168
2607901001002;411
2607901001003;592
2607901001004;864
2607901001005;295
2607901001006;210
2607901001007;322
2607901001008;677
2607901001009;325
2607901001010;347
2607901001011;256
2607901001012;166
2607901001013;58
2607901001014;39
2607901001015;662
2607901001016;665
2607901002001;85
2607901002002;205
2607901002003;259
2607901002004;128
2607901002005;251
2607901002006;281
2607901003001;362
2607901003002;66
2607901003003;458
2607901003004;299
2609402001001;535
2609600999001;281
2609600999002;519
2609600999003;764
2609600999004;356
2609600999005;340
2609600999006;490
2609600999007;2297
2609600999008;974
2609600999009;159
2609600999010;708
2610608001001;483
2610707999001;370
2610707999002;315
2610707999003;240
2610707999004;268
2610707999005;115
2610707999006;33
2610707999007;160
2610707999008;515
2610707999009;344
2610707999010;295
2610707999011;161
2610707999012;920
2611101999001;3607
2611101999002;886
2611101999003;1514
2611101999004;240
2611101999005;3
2611101999006;25
2611606999001;3898
2611606999002;3930
2611606999003;4630
2611606999004;346
2611606999005;1033
2611606999006;889
2611606999007;255
2611606999008;156
2611606999009;413
2611606999010;189
2611606999011;126
2611606999012;1537
2611606999013;1959
2611606999014;1010
2611606999015;1143
2611606999016;589
2611606999017;222
2611606999018;117
2611606999019;142
2611606999020;273
2611606999021;200
2611606999022;144
2611606999023;171
2611606999024;1025
2611606999025;568
2611606999026;592
2611606999027;840
2611606999028;559
2611606999029;1476
2611606999030;915
2611606999031;185
2611606999032;357
2611606999033;1306
2611606999034;595
2611606999035;555
2611606999036;140
2611606999037;341
2611606999038;371
2611606999039;392
2611606999040;554
2611606999041;3309
2611606999042;785
2611606999043;3038
2611606999044;1238
2611606999045;1391
2611606999046;785
2611606999047;534
2611606999048;400
2611606999049;505
2611606999050;91
2611606999051;675
2611606999052;163
2611606999053;237
2613701001001;654
2613701001002;168
2613701001003;59
2613701001004;83
2702207001001;32
2704302999001;542
2704302999002;623
2704302999003;407
2704302999004;566
2704302999005;817
2704302999006;5353
2704302999007;412
2704302999008;207
2704302999009;128
2704302999010;794
2704302999011;554
2704302999012;1499
2704302999013;363
2704302999014;559
2704302999015;1014
2704302999016;36
2704302999017;963
2704302999018;2217
2704302999019;616
2704302999020;469
2704302999021;1218
2704302999022;235
2704302999023;964
2704302999024;291
2707701001001;736
2707909001001;57
2708907001001;143
2800308999001;4050
2800308999002;2307
2800308999003;601
2800308999004;845
2800308999005;814
2800308999006;370
2800308999007;165
2800308999008;318
2800308999009;447
2800308999010;523
2800308999011;1251
2800308999012;469
2800308999013;73
2800308999014;670
2800308999015;357
2800308999016;382
2800308999017;134
2800308999018;42
2800308999019;95
2800308999020;373
2800308999021;403
2800308999022;81
2800605001001;176
2803609001001;210
2804003001001;152
2804805001001;219
2804805001002;50
2804805001003;33
2804805001004;647
2804805001005;210
2804805001006;20
2806701001001;860
2905701001001;371
2905701001002;388
2905701001003;914
2905701001004;2505
2905701001005;630
2905701501001;139
2905701502001;5
2906501001001;1733
2910057001001;1603
2910800999001;325
2910800999002;461
2910800999003;349
2910800999004;268
2910800999005;1161
2910800999006;1303
2910800999007;4608
2910800999008;393
2910800999009;270
2910800999010;171
2910800999011;820
2910800999012;539
2910800999013;863
2910800999014;1515
2910800999015;828
2910800999016;474
2910800999017;688
2910800999018;8
2910800999019;21
2913606999001;3056
2913606999002;388
2913606999003;259
2913606999004;137
2913606999005;310
2913606999006;504
2913606999007;245
2913606999008;6
2914802999001;3771
2914802999002;676
2914802999003;542
2914802999004;944
2914802999005;390
2914802999006;190
2914802999007;537
2914802999008;87
2914802999009;439
2914802999010;255
2916104001001;277
2918407001005;4789
2918407001099;3
2919207001001;4655
2919207001002;470
2919207001003;227
2919207001004;869
2919207001005;316
2919926001001;318
2921005001001;684
2927408999001;135
2927408999002;733
2927408999003;295
2927408999004;50
2927408999005;982
2927408999006;468
2927408999007;635
2927408999008;83
2927408999009;501
2927408999010;943
2927408999011;667
2927408999012;2739
2927408999013;268
2927408999014;834
2927408999015;1129
2927408999016;1400
2927408999017;4280
2927408999018;3626
2927408999019;93
2927408999020;406
2927408999021;1320
2927408999022;1660
2927408999023;2089
2927408999024;1577
2927408999025;574
2927408999026;737
2927408999027;592
2927408999028;686
2927408999029;1378
2927408999030;448
2927408999031;230
2927408999032;167
2927408999033;250
2927408999034;328
2927408999035;7195
2927408999036;5123
2927408999037;2332
2927408999038;663
2927408999039;518
2927408999040;648
2927408999041;227
2927408999042;146
2927408999043;190
2927408999044;222
2927408999045;149
2927408999046;61
2927408999047;482
2927408999048;269
2927408999049;94
2927408999050;198
2927408999051;953
2927408999052;247
2927408999053;213
2927408999054;283
2927408999055;834
2927408999056;906
2927408999057;144
2927408999058;375
2927408999059;258
2927408999060;117
2927408999061;1586
2927408999062;1059
2927408999063;783
2927408999064;663
2927408999065;389
2927408999066;806
2927408999067;2531
2927408999068;646
2927408999069;670
2927408999070;512
2927408999071;355
2927408999072;347
2927408999073;207
2927408999074;765
2927408999075;336
2927408999076;120
2927408999077;319
2927408999078;491
2927408999079;611
2927408999080;124
2927408999081;622
2927408999082;106
2927408999083;187
2927408999084;160
2927408999085;352
2927408999086;140
2927408999087;51
2927408999088;4
2929206001001;534
2929503001001;587
2930709001001;2862
2930709001002;129
3106200999001;1836
3106200999002;3841
3106200999003;3172
3106200999004;318
3106200999005;2476
3106200999006;21306
3106200999007;4475
3106200999008;616
3106200999009;1228
3106200999010;1609
3106200999011;1422
3106200999012;1327
3106200999013;131
3106200999014;2151
3106200999015;631
3106200999016;143
3106200999017;529
3106200999018;1856
3106200999019;459
3106200999020;1081
3106200999021;1491
3106200999022;3991
3106200999023;1818
3106200999024;4278
3106200999025;1623
3106200999026;2161
3106200999027;154
3106200999028;266
3106200999029;2758
3106200999030;3019
3106200999031;552
3106200999032;342
3106200999033;1353
3106200999034;1016
3106200999035;492
3106200999036;282
3106200999037;1006
3106200999038;4124
3106200999039;1268
3106200999040;1016
3106200999041;765
3106200999042;806
3106200999043;849
3106200999044;1542
3106200999045;1462
3106200999046;196
3106200999047;1895
3106200999048;1678
3106200999049;3397
3106200999050;1782
3106200999051;673
3106200999052;1634
3106200999053;706
3106200999054;14561
3106200999055;2221
3106200999056;65
3106200999057;898
3106200999058;1259
3106705001001;100
3106705001002;143
3106705001003;116
3106705001004;313
3106705001005;318
3106705001006;362
3106705001007;143
3106705001008;111
3106705001009;2521
3106705001010;462
3106705001011;582
3106705001012;323
3106705001013;1349
3109006001001;941
3110004001001;1295
3112505001001;342
3115904001001;119
3117876001001;185
3118601001001;618
3118601001002;431
3118601001003;762
3118601001004;837
3118601001005;572
3118601001006;342
3118601001007;540
3118601001008;430
3118601001009;206
3118601001010;262
3118601001011;120
3118601001012;925
3118601001013;630
3118601001014;683
3118601001015;364
3118601001016;285
3118601001017;1043
3118601002001;950
3118601002002;813
3118601002003;561
3118601002004;811
3118601002005;824
3118601002006;671
3118601002007;696
3118601002008;836
3118601002009;1121
3118601002010;419
3118601002011;1413
3119401501001;2263
3119401502001;1212
3124104001001;1370
3129806501001;1183
3129806502001;499
3130101001001;829
3131158001001;259
3131307001001;2583
3131307001002;846
3131307001003;477
3131307001004;928
3131307001005;1206
3131307001006;197
3131307002001;283
3131307002002;816
3131307002003;258
3131307002004;842
3136652001001;489
3136702001001;1948
3136702001002;1077
3136702001003;480
3136702001004;441
3136702001005;346
3136702001006;345
3136702001007;959
3136702001008;2961
3136702001009;2186
3136702001010;347
3136702001011;4959
3136702001012;427
3136702001013;628
3136702001014;536
3136702001015;871
3136702001016;841
3136702001017;1185
3136702001018;883
3136702001019;378
3136702001020;263
3136702001021;803
3136702001022;242
3136702001023;761
3136702001024;683
3137601001001;1529
3140159001001;160
3140704001001;1000
3140803001001;533
3141108001001;1188
3144805001001;3195
3149309001001;2224
3153608001001;400
3153905001001;252
3154606001001;427
3154606001002;339
3154606001003;570
3154606001004;245
3154606002001;358
3154606002002;111
3154606002003;160
3154606002004;133
3154606002005;327
3154606002006;134
3154804001001;2708
3156700501001;1169
3156700502001;835
3157807001001;885
3157807001002;475
3157807001003;114
3157807002001;250
3157807002002;584
3157807002003;101
3157807002004;209
3157807002005;204
3158953001001;354
3162922001001;417
3162955001001;444
3165537001001;297
3167202001001;471
3167202001002;3523
3167202001003;555
3167202001004;346
3167202001005;593
3167202001006;1331
3167202001007;410
3167202001008;598
3168705001001;2815
3170206001001;328
3170206001002;164
3170206001003;909
3170206001004;517
3170206001005;653
3170206001006;731
3170206001007;1940
3170206001008;399
3170206001009;2527
3170206001010;1035
3170206001011;4266
3170206001012;2311
3170206001013;2516
3170206001014;601
3170206001015;1073
3170206001016;380
3170206001017;198
3170206001018;490
3170206001019;244
3170206001020;527
3170206001021;265
3170206001022;342
3170206001023;991
3170206001024;692
3170206001025;164
3170206001026;377
3170206001027;500
3171204001001;1485
3201308001001;105
3201308001002;61
3201308001003;851
3201308001004;506
3201308001005;52
3201308002001;411
3201308002002;306
3201308002003;490
3201308002004;349
3201308002005;171
3201308002006;268
3201308002007;562
3201308002008;491
3201308002009;1506
3201308002010;641
3202405001001;2154
3202405001002;707
3202405001003;740
3202405001004;981
3202405001005;92
3205002999001;308
3205002999002;712
3205002999003;603
3205002999004;394
3205002999005;266
3205002999006;193
3205002999007;247
3205002999008;640
3205002999009;793
3205002999010;2437
3205002999011;1640
3205002999012;654
3205101001001;929
3205200999001;1131
3205200999002;723
3205200999003;202
3205200999004;2536
3205200999005;2705
3205200999006;219
3205200999007;857
3205200999008;705
3205200999009;526
3205200999010;875
3205200999011;384
3205200999012;461
3205200999013;161
3205200999014;302
3205200999015;1359
3205200999016;651
3205200999017;254
3205200999018;337
3205200999019;669
3205309999001;4542
3205309999002;715
3205309999003;3185
3205309999004;1522
3205309999005;6639
3205309999006;5055
3205309999007;199
3205309999008;265
3300308001005;2265
3300308001099;186
3300407001001;180
3300407001002;770
3300407001003;301
3300407001004;301
3300407001005;150
3300407001006;1883
3300407001007;645
3300407001008;795
3300456999001;1063
3300456999002;198
3300456999003;404
3300456999004;179
3300456999005;137
3300456999006;97
3300456999007;139
3300456999008;144
3300456999009;211
3300456999010;124
3300456999011;187
3300456999012;112
3300456999013;234
3300456999014;69
3300456999015;391
3300456999016;117
3300456999017;116
3300456999018;98
3300456999019;140
3300456999020;194
3301009999001;3
3301009999006;442
3301009999007;161
3301009999008;240
3301009999009;503
3301009999010;862
3301009999011;4422
3301009999012;208
3301009999013;652
3301009999014;638
3301009999015;420
3301009999016;305
3301009999017;377
3301009999018;351
3301009999019;193
3301009999020;274
3301009999021;70
3301009999022;280
3301702999001;790
3301702999002;211
3301702999003;88
3301702999004;860
3301702999005;365
3301702999006;272
3301702999007;723
3301702999008;1733
3301702999009;312
3301702999010;144
3301702999011;424
3301702999012;178
3301702999013;91
3301702999014;152
3301702999015;133
3301702999016;159
3301702999017;101
3301702999018;246
3301702999019;173
3301702999020;117
3301702999021;185
3301702999022;314
3301702999023;187
3301702999024;264
3301702999025;288
3301702999026;91
3301702999027;99
3301702999028;224
3301702999029;640
3301702999030;247
3301702999031;175
3301702999032;165
3301702999033;161
3301702999034;182
3301702999035;364
3301702999036;194
3301702999037;83
3301702999038;277
3301702999039;327
3301702999040;151
3301702999041;73
3301702999042;186
3301702999043;275
3301702999044;168
3301702999045;123
3301702999046;77
3301702999047;87
3301702999048;456
3301702999049;107
3301702999050;278
3301850001001;1516
3301900001001;428
3301900001002;90
3301900001003;1338
3301900001004;236
3301900001005;129
3301900001006;247
3301900001007;228
3301900001008;64
