cod_mun;num_est
1200203;303
1200336;10
1200351;3
1200393;3
1200427;3
1200302;44
1200328;2
1200609;87
1200054;14
1200104;60
1200252;50
1200708;37
1200013;23
1200138;21
1200179;11
1200385;39
1200807;10
1200401;2357
1200450;59
1200344;4
1200435;2
1200500;89
1300086;2
1300102;2
1300631;2
1300839;4
1301209;62
1301308;9
1301902;200
1302009;5
1303106;12
1304005;4
1304401;6
1300300;4
1301100;15
1301159;3
1301852;79
1302504;116
1302553;4
1302603;9048
1300508;12
1300680;5
1302900;46
1303007;9
1303403;159
1303957;5
1304302;8
1303536;63
1303569;34
1300029;2
1304203;125
1304260;2
1302108;4
1302801;3
1300409;9
1303205;9
1303601;5
1303809;36
1300060;2
1300201;4
1300607;19
1301605;4
1302306;3
1303700;5
1303908;4
1304062;82
1304237;2
1301001;14
1301407;23
1301506;10
1301654;7
1301803;4
1301951;3
1302207;2
1300706;27
1303502;3
1300144;17
1300805;12
1301704;114
1302702;18
1303304;6
1300904;4
1302405;25
1304104;3
1600105;24
1600550;8
1600709;22
1600204;15
1600501;45
1600212;9
1600238;10
1600253;10
1600303;2010
1600154;6
1600535;27
1600600;290
1600055;10
1600279;82
1600402;29
1600808;9
1500503;159
1505908;20
1503002;10
1503903;7
1505106;99
1505304;190
1507979;10
1500404;38
1501451;10
1502855;2
1504802;61
1505650;7
1506005;12
1506807;1399
1502004;10
1502509;16
1504901;10
1505700;21
1506302;24
1506401;6
1507904;42
1500305;17
1500701;10
1501808;132
1502806;6
1507706;4
1501105;7
1503101;8
1504505;3
1505809;34
1500800;1579
1501303;272
1501402;10723
1501501;149
1504422;181
1506351;24
1501907;18
1502400;1026
1503408;17
1506500;272
1507003;81
1500909;14
1501600;7
1501709;182
1502202;247
1503200;78
1505007;23
1505601;14
1506104;9
1506112;7
1506609;48
1506906;6
1507409;45
1508035;10
1500107;281
1501204;23
1502103;71
1503309;48
1504000;4
1504604;15
1505205;4
1500958;11
1501956;3
1502301;65
1503077;9
1503457;23
1503507;35
1504059;52
1504950;7
1505403;16
1506559;17
1507201;29
1507607;136
1508308;18
1502608;5
1502905;29
1504109;5
1504307;14
1504406;23
1506203;153
1507102;8
1507466;2
1507474;12
1507961;10
1508209;73
1500206;41
1502756;31
1504703;69
1507953;152
1508001;237
1502707;208
1503044;12
1506583;35
1506708;135
1501758;14
1504208;1003
1505494;4
1507151;20
1507508;6
1500131;21
1501576;39
1502939;152
1503093;79
1505502;578
1506187;240
1508126;102
1500347;41
1502152;26
1502772;43
1502954;25
1505536;422
1505551;22
1505635;32
1506138;435
1506161;68
1507458;70
1507755;18
1508407;222
1501253;24
1502764;41
1505437;41
1507300;97
1508084;104
1501782;83
1503705;52
1503804;149
1504976;18
1505064;70
1508100;369
1500602;600
1500859;18
1501725;17
1504455;34
1505486;12
1507805;29
1508159;90
1508357;15
1501006;2
1503606;356
1503754;7
1505031;125
1506195;34
1508050;23
1100346;107
1100148;85
1100320;104
1101500;30
1100403;58
