,Unnamed: 0.1,ano,fpm,cod,uf
0,0,2000.0,2154999.18,2700201,AL
1,1,2001.0,2656430.14,2700201,AL
2,2,2002.0,3551721.43,2700201,AL
3,3,2003.0,3722182.41,2700201,AL
4,4,2004.0,4165720.91,2700201,AL
5,5,2005.0,5231121.12,2700201,AL
6,6,2006.0,5805971.3,2700201,AL
7,7,2007.0,6513677.99,2700201,AL
8,8,2008.0,8020086.7,2700201,AL
9,9,2009.0,7518073.7,2700201,AL
10,10,2010.0,8080648.58,2700201,AL
11,11,2011.0,9979490.07,2700201,AL
12,12,2012.0,10347959.68,2700201,AL
13,13,2013.0,11121107.12,2700201,AL
14,14,2014.0,11772206.35,2700201,AL
15,15,2015.0,12571648.14,2700201,AL
16,16,2016.0,2423685.71,2700201,AL
17,17,2000.0,16974981.92,2700300,AL
18,18,2001.0,19459246.2,2700300,AL
19,19,2002.0,24003690.05,2700300,AL
20,20,2003.0,24851939.97,2700300,AL
21,21,2004.0,26358494.54,2700300,AL
22,22,2005.0,32996509.8,2700300,AL
23,23,2006.0,36793659.35,2700300,AL
24,24,2007.0,40593400.81,2700300,AL
25,25,2008.0,50585060.18,2700300,AL
26,26,2009.0,46505533.96,2700300,AL
27,27,2010.0,49669183.39,2700300,AL
28,28,2011.0,60386206.51,2700300,AL
29,29,2012.0,62275640.4,2700300,AL
30,30,2013.0,66702807.38,2700300,AL
31,31,2014.0,70499236.83,2700300,AL
32,32,2015.0,74347696.84,2700300,AL
33,33,2016.0,14321815.93,2700300,AL
34,34,2000.0,3771248.05,2700409,AL
35,35,2001.0,4494650.46,2700409,AL
36,36,2002.0,5639006.15,2700409,AL
37,37,2003.0,5732334.03,2700409,AL
38,38,2004.0,6192167.84,2700409,AL
39,39,2005.0,7593544.63,2700409,AL
40,40,2006.0,8300725.0,2700409,AL
41,41,2007.0,10769756.34,2700409,AL
42,42,2008.0,13366810.79,2700409,AL
43,43,2009.0,13783134.79,2700409,AL
44,44,2010.0,14814522.13,2700409,AL
45,45,2011.0,16632483.23,2700409,AL
46,46,2012.0,17246599.27,2700409,AL
47,47,2013.0,18535178.34,2700409,AL
48,48,2014.0,19620343.76,2700409,AL
49,49,2015.0,20952746.64,2700409,AL
50,50,2016.0,4039476.15,2700409,AL
51,51,2000.0,1847142.12,2700508,AL
52,52,2001.0,2354933.84,2700508,AL
53,53,2002.0,2874751.95,2700508,AL
54,54,2003.0,2866177.66,2700508,AL
55,55,2004.0,3032898.94,2700508,AL
56,56,2005.0,3639557.62,2700508,AL
57,57,2006.0,4542984.28,2700508,AL
58,58,2007.0,5106227.06,2700508,AL
59,59,2008.0,6683405.6,2700508,AL
60,60,2009.0,6265061.48,2700508,AL
61,61,2010.0,6733873.88,2700508,AL
62,62,2011.0,8316241.84,2700508,AL
63,63,2012.0,8623299.86,2700508,AL
64,64,2013.0,9267589.32,2700508,AL
65,65,2014.0,9810172.04,2700508,AL
66,66,2015.0,10476373.48,2700508,AL
67,67,2016.0,2019738.12,2700508,AL
68,68,2000.0,1275321.71,2700607,AL
69,69,2001.0,1455864.48,2700607,AL
70,70,2002.0,1776487.54,2700607,AL
71,71,2003.0,1861299.63,2700607,AL
72,72,2004.0,2082860.71,2700607,AL
73,73,2005.0,2615560.86,2700607,AL
74,74,2006.0,2902985.93,2700607,AL
75,75,2007.0,3256839.3,2700607,AL
76,76,2008.0,4010043.53,2700607,AL
77,77,2009.0,3759037.03,2700607,AL
78,78,2010.0,4040324.46,2700607,AL
79,79,2011.0,4989745.21,2700607,AL
80,80,2012.0,5173980.0,2700607,AL
81,81,2013.0,5560553.63,2700607,AL
82,82,2014.0,5886103.32,2700607,AL
83,83,2015.0,6285824.26,2700607,AL
84,84,2016.0,1211842.86,2700607,AL
85,85,2000.0,2125535.79,2700706,AL
86,86,2001.0,2426440.38,2700706,AL
87,87,2002.0,2960812.27,2700706,AL
88,88,2003.0,3102165.67,2700706,AL
89,89,2004.0,3471434.17,2700706,AL
90,90,2005.0,4359267.7,2700706,AL
91,91,2006.0,4838309.51,2700706,AL
92,92,2007.0,5824147.41,2700706,AL
93,93,2008.0,6683405.6,2700706,AL
94,94,2009.0,6265061.48,2700706,AL
95,95,2010.0,6733873.88,2700706,AL
96,96,2011.0,9979490.07,2700706,AL
97,97,2012.0,10347959.68,2700706,AL
98,98,2013.0,11121107.12,2700706,AL
99,99,2014.0,11772206.35,2700706,AL
100,100,2015.0,12571648.14,2700706,AL
101,101,2016.0,2423685.71,2700706,AL
102,102,2000.0,1275321.71,2700904,AL
103,103,2001.0,1455864.48,2700904,AL
104,104,2002.0,1776487.54,2700904,AL
105,105,2003.0,1861299.63,2700904,AL
106,106,2004.0,2082860.71,2700904,AL
107,107,2005.0,2615560.86,2700904,AL
108,108,2006.0,2902985.93,2700904,AL
109,109,2007.0,3256839.3,2700904,AL
110,110,2008.0,4010043.53,2700904,AL
111,111,2009.0,3759037.03,2700904,AL
112,112,2010.0,4040324.46,2700904,AL
113,113,2011.0,4989745.21,2700904,AL
114,114,2012.0,5173980.0,2700904,AL
115,115,2013.0,5560553.63,2700904,AL
116,116,2014.0,5886103.32,2700904,AL
117,117,2015.0,6285824.26,2700904,AL
118,118,2016.0,1211842.86,2700904,AL
119,119,2000.0,1275321.71,2700805,AL
120,120,2001.0,1455864.48,2700805,AL
121,121,2002.0,1776487.54,2700805,AL
122,122,2003.0,1861299.63,2700805,AL
123,123,2004.0,2082860.71,2700805,AL
124,124,2005.0,2615560.86,2700805,AL
125,125,2006.0,2902985.93,2700805,AL
126,126,2007.0,3256839.3,2700805,AL
127,127,2008.0,4010043.53,2700805,AL
128,128,2009.0,3759037.03,2700805,AL
129,129,2010.0,4040324.46,2700805,AL
130,130,2011.0,4989745.21,2700805,AL
131,131,2012.0,5173980.0,2700805,AL
132,132,2013.0,5560553.63,2700805,AL
133,133,2014.0,5886103.32,2700805,AL
134,134,2015.0,6285824.26,2700805,AL
135,135,2016.0,1211842.86,2700805,AL
136,136,2000.0,2539820.35,2701001,AL
137,137,2001.0,3115729.69,2701001,AL
138,138,2002.0,4143756.15,2701001,AL
139,139,2003.0,4342573.02,2701001,AL
140,140,2004.0,4860007.62,2701001,AL
