uf,ano,fpm,cod
DF,2000,31065216.08,5300108
DF,2001,34764529.94,5300108
DF,2002,44809624.02,5300108
DF,2003,41485333.16,5300108
DF,2004,43249085.64,5300108
DF,2005,59087917.70,5300108
DF,2006,62187721.61,5300108
DF,2007,68813115.79,5300108
DF,2008,70026305.85,5300108
DF,2009,65318385.78,5300108
DF,2010,71547069.20,5300108
DF,2011,89005650.90,5300108
DF,2012,92011504.66,5300108
DF,2013,98554218.62,5300108
DF,2014,109019834.85,5300108
DF,2015,115538816.17,5300108
DF,2016,135441938.20,5300108
DF,2017,49845542.76,5300108
