,Unnamed: 0.1,ano,fpm,cod,uf
0,0,2000.0,929372.31,2200053,PI
1,1,2001.0,1075567.14,2200053,PI
2,2,2002.0,1331958.64,2200053,PI
3,3,2003.0,1414390.07,2200053,PI
4,4,2004.0,1577019.48,2200053,PI
5,5,2005.0,1982687.03,2200053,PI
6,6,2006.0,2219097.96,2200053,PI
7,7,2007.0,2583359.33,2200053,PI
8,8,2008.0,3079702.71,2200053,PI
9,9,2009.0,2878542.87,2200053,PI
10,10,2010.0,3095735.68,2200053,PI
11,11,2011.0,3812163.03,2200053,PI
12,12,2012.0,3926060.57,2200053,PI
13,13,2013.0,4222320.41,2200053,PI
14,14,2014.0,4590398.05,2200053,PI
15,15,2015.0,4888201.27,2200053,PI
16,16,2016.0,944510.98,2200053,PI
17,17,2000.0,929372.31,2200103,PI
18,18,2001.0,1075567.14,2200103,PI
19,19,2002.0,1331958.64,2200103,PI
20,20,2003.0,1414390.07,2200103,PI
21,21,2004.0,1577019.48,2200103,PI
22,22,2005.0,1982687.03,2200103,PI
23,23,2006.0,2219097.96,2200103,PI
24,24,2007.0,2583359.33,2200103,PI
25,25,2008.0,3079702.71,2200103,PI
26,26,2009.0,2878542.87,2200103,PI
27,27,2010.0,3095735.68,2200103,PI
28,28,2011.0,3812163.03,2200103,PI
29,29,2012.0,3926060.57,2200103,PI
30,30,2013.0,4222320.41,2200103,PI
31,31,2014.0,4590398.05,2200103,PI
32,32,2015.0,4888201.27,2200103,PI
33,33,2016.0,944510.98,2200103,PI
34,34,2000.0,929372.31,2200251,PI
35,35,2001.0,1075567.14,2200251,PI
36,36,2002.0,1331958.64,2200251,PI
37,37,2003.0,1414390.07,2200251,PI
38,38,2004.0,1577019.48,2200251,PI
39,39,2005.0,1982687.03,2200251,PI
40,40,2006.0,2219097.96,2200251,PI
41,41,2007.0,2583359.33,2200251,PI
42,42,2008.0,3079702.71,2200251,PI
43,43,2009.0,2878542.87,2200251,PI
44,44,2010.0,3095735.68,2200251,PI
45,45,2011.0,3812163.03,2200251,PI
46,46,2012.0,3926060.57,2200251,PI
47,47,2013.0,4222320.41,2200251,PI
48,48,2014.0,4590398.05,2200251,PI
49,49,2015.0,4888201.27,2200251,PI
50,50,2016.0,944510.98,2200251,PI
51,51,2000.0,929372.31,2200277,PI
52,52,2001.0,1075567.14,2200277,PI
53,53,2002.0,1331958.64,2200277,PI
54,54,2003.0,1414390.07,2200277,PI
55,55,2004.0,1577019.48,2200277,PI
56,56,2005.0,1982687.03,2200277,PI
57,57,2006.0,2219097.96,2200277,PI
58,58,2007.0,2583359.33,2200277,PI
59,59,2008.0,3079702.71,2200277,PI
60,60,2009.0,2878542.87,2200277,PI
61,61,2010.0,3095735.68,2200277,PI
62,62,2011.0,3812163.03,2200277,PI
63,63,2012.0,3926060.57,2200277,PI
64,64,2013.0,4222320.41,2200277,PI
65,65,2014.0,4590398.05,2200277,PI
66,66,2015.0,4888201.27,2200277,PI
67,67,2016.0,944510.98,2200277,PI
68,68,2000.0,1468843.68,2200301,PI
69,69,2001.0,1736039.84,2200301,PI
70,70,2002.0,2124787.26,2200301,PI
71,71,2003.0,2125225.61,2200301,PI
72,72,2004.0,2248741.68,2200301,PI
73,73,2005.0,2690071.55,2200301,PI
74,74,2006.0,2847123.3,2200301,PI
75,75,2007.0,3122835.7,2200301,PI
76,76,2008.0,5132837.55,2200301,PI
77,77,2009.0,4797571.16,2200301,PI
78,78,2010.0,5159559.34,2200301,PI
79,79,2011.0,6353604.83,2200301,PI
80,80,2012.0,6543434.12,2200301,PI
81,81,2013.0,7037200.57,2200301,PI
82,82,2014.0,7650663.32,2200301,PI
83,83,2015.0,8147001.89,2200301,PI
84,84,2016.0,1574184.97,2200301,PI
85,85,2000.0,2711710.81,2200400,PI
86,86,2001.0,3056519.6,2200400,PI
87,87,2002.0,3759361.17,2200400,PI
88,88,2003.0,3825417.03,2200400,PI
89,89,2004.0,4122692.38,2200400,PI
90,90,2005.0,5433522.04,2200400,PI
91,91,2006.0,5950543.51,2200400,PI
92,92,2007.0,6766060.02,2200400,PI
93,93,2008.0,9239107.31,2200400,PI
94,94,2009.0,8635627.78,2200400,PI
95,95,2010.0,9287206.55,2200400,PI
96,96,2011.0,11436488.43,2200400,PI
97,97,2012.0,11778181.17,2200400,PI
98,98,2013.0,12666960.69,2200400,PI
99,99,2014.0,13771193.58,2200400,PI
100,100,2015.0,14664603.22,2200400,PI
101,101,2016.0,2833532.86,2200400,PI
102,102,2000.0,929372.31,2200459,PI
103,103,2001.0,1075567.14,2200459,PI
104,104,2002.0,1331958.64,2200459,PI
105,105,2003.0,1414390.07,2200459,PI
106,106,2004.0,1577019.48,2200459,PI
107,107,2005.0,1982687.03,2200459,PI
108,108,2006.0,2219097.96,2200459,PI
109,109,2007.0,2583359.33,2200459,PI
110,110,2008.0,3079702.71,2200459,PI
111,111,2009.0,2878542.87,2200459,PI
112,112,2010.0,3095735.68,2200459,PI
113,113,2011.0,3812163.03,2200459,PI
114,114,2012.0,3926060.57,2200459,PI
115,115,2013.0,4222320.41,2200459,PI
116,116,2014.0,4590398.05,2200459,PI
117,117,2015.0,4888201.27,2200459,PI
118,118,2016.0,944510.98,2200459,PI
119,119,2000.0,1858744.22,2200509,PI
120,120,2001.0,2038004.41,2200509,PI
121,121,2002.0,2288933.11,2200509,PI
122,122,2003.0,2337958.89,2200509,PI
123,123,2004.0,3154038.56,2200509,PI
124,124,2005.0,3963356.55,2200509,PI
125,125,2006.0,4437288.32,2200509,PI
126,126,2007.0,5166718.11,2200509,PI
127,127,2008.0,6159405.07,2200509,PI
128,128,2009.0,5757085.37,2200509,PI
129,129,2010.0,6191471.08,2200509,PI
130,130,2011.0,7624325.73,2200509,PI
131,131,2012.0,7852120.8,2200509,PI
132,132,2013.0,8444640.58,2200509,PI
133,133,2014.0,9180795.89,2200509,PI
134,134,2015.0,9776402.26,2200509,PI
135,135,2016.0,1889021.93,2200509,PI
136,136,2000.0,1016891.88,2200608,PI
137,137,2001.0,1198140.17,2200608,PI
138,138,2002.0,1470947.94,2200608,PI
139,139,2003.0,1487631.29,2200608,PI
140,140,2004.0,1592858.84,2200608,PI
141,141,2005.0,1929529.78,2200608,PI
142,142,2006.0,2070418.73,2200608,PI
143,143,2007.0,2304938.42,2200608,PI
144,144,2008.0,3079702.71,2200608,PI
145,145,2009.0,2878542.87,2200608,PI
146,146,2010.0,3095735.68,2200608,PI
147,147,2011.0,3812163.03,2200608,PI
148,148,2012.0,3926060.57,2200608,PI
149,149,2013.0,4222320.41,2200608,PI
150,150,2014.0,4590398.05,2200608,PI
151,151,2015.0,4888201.27,2200608,PI
152,152,2016.0,944510.98,2200608,PI
153,153,2000.0,929372.31,2200806,PI
154,154,2001.0,1075567.14,2200806,PI
155,155,2002.0,1331958.64,2200806,PI
156,156,2003.0,1414390.07,2200806,PI
157,157,2004.0,1577019.48,2200806,PI
158,158,2005.0,1982687.03,2200806,PI
159,159,2006.0,2219097.96,2200806,PI
160,160,2007.0,2583359.33,2200806,PI
161,161,2008.0,3079702.71,2200806,PI
162,162,2009.0,2878542.87,2200806,PI
163,163,2010.0,3095735.68,2200806,PI
164,164,2011.0,3812163.03,2200806,PI
165,165,2012.0,3926060.57,2200806,PI
166,166,2013.0,4222320.41,2200806,PI
167,167,2014.0,4590398.05,2200806,PI
168,168,2015.0,4888201.27,2200806,PI
169,169,2016.0,944510.98,2200806,PI
170,170,2000.0,1016891.88,2200707,PI
171,171,2001.0,1198140.17,2200707,PI
172,172,2002.0,1470947.94,2200707,PI
173,173,2003.0,1487631.29,2200707,PI
174,174,2004.0,1592858.84,2200707,PI
