,Unnamed: 0.1,uf,ano,fpm,cod
0,0,SP,2000,6801519.31,3523909
1,1,SP,2001,7914919.62,3523909
2,2,SP,2002,9731334.27,3523909
3,3,SP,2003,10094630.49,3523909
4,4,SP,2004,15207915.69,3523909
5,5,SP,2005,18862620.52,3523909
6,6,SP,2006,20873878.8,3523909
7,7,SP,2007,23654988.2,3523909
8,8,SP,2008,29000192.08,3523909
9,9,SP,2009,26765615.53,3523909
10,10,SP,2010,29845390.53,3523909
11,11,SP,2011,36159963.08,3523909
12,12,SP,2012,36065962.66,3523909
13,13,SP,2013,41513170.97,3523909
14,14,SP,2014,44348099.73,3523909
15,15,SP,2015,46887692.54,3523909
16,16,SP,2016,54595012.11,3523909
17,17,SP,2017,19778349.7,3523909
18,18,SP,2000,6045794.96,3525300
19,19,SP,2001,7035484.16,3525300
20,20,SP,2002,8650075.01,3525300
21,21,SP,2003,9533172.38,3525300
22,22,SP,2004,10482327.7,3525300
23,23,SP,2005,12994022.11,3525300
24,24,SP,2006,14314083.87,3525300
25,25,SP,2007,16434766.35,3525300
26,26,SP,2008,20825757.43,3525300
27,27,SP,2009,20480917.09,3525300
28,28,SP,2010,21950374.55,3525300
29,29,SP,2011,27062540.96,3525300
30,30,SP,2012,27850903.81,3525300
31,31,SP,2013,29894476.04,3525300
32,32,SP,2014,32036135.01,3525300
33,33,SP,2015,34023487.61,3525300
34,34,SP,2016,52393112.34,3525300
35,35,SP,2017,18981663.32,3525300
36,36,SP,2000,5290070.62,3539806
37,37,SP,2001,6372946.46,3539806
38,38,SP,2002,8108248.41,3539806
39,39,SP,2003,8411794.55,3539806
40,40,SP,2004,9249112.74,3539806
41,41,SP,2005,12222762.92,3539806
42,42,SP,2006,13469673.48,3539806
43,43,SP,2007,15468015.34,3539806
44,44,SP,2008,19600712.93,3539806
45,45,SP,2009,18205259.63,3539806
46,46,SP,2010,19511444.06,3539806
47,47,SP,2011,24055592.08,3539806
48,48,SP,2012,24756358.9,3539806
49,49,SP,2013,26572867.6,3539806
50,50,SP,2014,28476564.5,3539806
51,51,SP,2015,30243100.17,3539806
52,52,SP,2016,35230396.95,3539806
53,53,SP,2017,12746982.94,3539806
54,54,SP,2000,1266647.72,3555901
55,55,SP,2001,1377590.44,3555901
56,56,SP,2002,1621889.46,3555901
57,57,SP,2003,1682438.89,3555901
58,58,SP,2004,1849823.02,3555901
59,59,SP,2005,2293063.2,3555901
60,60,SP,2006,2526015.23,3555901
61,61,SP,2007,2900253.29,3555901
62,62,SP,2008,3675134.0,3555901
63,63,SP,2009,3413486.54,3555901
64,64,SP,2010,3658396.04,3555901
65,65,SP,2011,4510423.84,3555901
66,66,SP,2012,4641817.54,3555901
67,67,SP,2013,4982412.95,3555901
68,68,SP,2014,5339356.05,3555901
69,69,SP,2015,5670581.59,3555901
70,70,SP,2016,6605699.72,3555901
71,71,SP,2017,2390059.39,3555901
72,72,SP,2000,1133586.92,3504305
73,73,SP,2001,1319153.75,3504305
74,74,SP,2002,1621889.46,3504305
75,75,SP,2003,1682438.89,3504305
76,76,SP,2004,1849823.02,3504305
77,77,SP,2005,2293063.2,3504305
78,78,SP,2006,2526015.23,3504305
79,79,SP,2007,2900253.29,3504305
80,80,SP,2008,3675134.0,3504305
81,81,SP,2009,3413486.54,3504305
82,82,SP,2010,3658396.04,3504305
83,83,SP,2011,4510423.84,3504305
84,84,SP,2012,4641817.54,3504305
85,85,SP,2013,4982412.95,3504305
86,86,SP,2014,5339356.05,3504305
87,87,SP,2015,5670581.59,3504305
88,88,SP,2016,6605699.72,3504305
89,89,SP,2017,2390059.39,3504305
90,90,SP,2000,1133586.92,3507209
91,91,SP,2001,1319153.75,3507209
92,92,SP,2002,1621889.46,3507209
93,93,SP,2003,1682438.89,3507209
94,94,SP,2004,1849823.02,3507209
95,95,SP,2005,2293063.2,3507209
96,96,SP,2006,2526015.23,3507209
97,97,SP,2007,2900253.29,3507209
98,98,SP,2008,3675134.0,3507209
99,99,SP,2009,3413486.54,3507209
100,100,SP,2010,3658396.04,3507209
101,101,SP,2011,4510423.84,3507209
102,102,SP,2012,4641817.54,3507209
103,103,SP,2013,4982412.95,3507209
104,104,SP,2014,5339356.05,3507209
105,105,SP,2015,5670581.59,3507209
106,106,SP,2016,6605699.72,3507209
107,107,SP,2017,2390059.39,3507209
108,108,SP,2000,2267173.38,3508009
109,109,SP,2001,2638306.88,3508009
110,110,SP,2002,3243778.44,3508009
111,111,SP,2003,3364877.24,3508009
112,112,SP,2004,3699645.42,3508009
113,113,SP,2005,4586125.83,3508009
114,114,SP,2006,5052029.95,3508009
115,115,SP,2007,5800506.15,3508009
116,116,SP,2008,7350267.58,3508009
117,117,SP,2009,6826972.62,3508009
118,118,SP,2010,7316791.71,3508009
119,119,SP,2011,9020847.23,3508009
120,120,SP,2012,9283634.81,3508009
121,121,SP,2013,9964825.53,3508009
122,122,SP,2014,10678711.86,3508009
123,123,SP,2015,11341162.74,3508009
124,124,SP,2016,13211399.09,3508009
125,125,SP,2017,4780118.69,3508009
126,126,SP,2000,1133586.92,3519808
127,127,SP,2001,1319153.75,3519808
128,128,SP,2002,1621889.46,3519808
129,129,SP,2003,1682438.89,3519808
130,130,SP,2004,1849823.02,3519808
131,131,SP,2005,2293063.2,3519808
132,132,SP,2006,2526015.23,3519808
133,133,SP,2007,2900253.29,3519808
134,134,SP,2008,3675134.0,3519808
135,135,SP,2009,3413486.54,3519808
136,136,SP,2010,3658396.04,3519808
137,137,SP,2011,4510423.84,3519808
138,138,SP,2012,4641817.54,3519808
139,139,SP,2013,4982412.95,3519808
140,140,SP,2014,5339356.05,3519808
141,141,SP,2015,5670581.59,3519808
142,142,SP,2016,6605699.72,3519808
143,143,SP,2017,2390059.39,3519808
144,144,SP,2000,1338858.16,3519907
145,145,SP,2001,1574323.42,3519907
146,146,SP,2002,1921616.25,3519907
147,147,SP,2003,1933903.47,3519907
148,148,SP,2004,2059674.44,3519907
149,149,SP,2005,2476299.03,3519907
150,150,SP,2006,2640730.11,3519907
151,151,SP,2007,2928844.19,3519907
152,152,SP,2008,3675134.0,3519907
153,153,SP,2009,3413486.54,3519907
154,154,SP,2010,3658396.04,3519907
155,155,SP,2011,4510423.84,3519907
156,156,SP,2012,4641817.54,3519907
157,157,SP,2013,4982412.95,3519907
158,158,SP,2014,5339356.05,3519907
159,159,SP,2015,5670581.59,3519907
160,160,SP,2016,6605699.72,3519907
161,161,SP,2017,2390059.39,3519907
162,162,SP,2000,1511449.16,3521309
163,163,SP,2001,1758871.38,3521309
164,164,SP,2002,2162519.12,3521309
165,165,SP,2003,2243251.66,3521309
166,166,SP,2004,2466430.4,3521309
167,167,SP,2005,3057417.39,3521309
168,168,SP,2006,3368020.17,3521309
169,169,SP,2007,3867004.23,3521309
170,170,SP,2008,6125223.02,3521309
171,171,SP,2009,5689143.93,3521309
172,172,SP,2010,6097326.49,3521309
173,173,SP,2011,7517372.77,3521309
174,174,SP,2012,7736362.42,3521309
175,175,SP,2013,8304021.27,3521309
176,176,SP,2014,8898926.63,3521309
177,177,SP,2015,9450969.02,3521309
178,178,SP,2016,11009499.3,3521309
179,179,SP,2017,3983432.26,3521309
180,180,SP,2000,2082667.99,3521804
181,181,SP,2001,2519105.81,3521804
182,182,SP,2002,3243194.01,3521804
183,183,SP,2003,3364683.12,3521804
184,184,SP,2004,3699645.42,3521804
185,185,SP,2005,4586125.83,3521804
186,186,SP,2006,5052029.95,3521804
187,187,SP,2007,5800506.15,3521804
188,188,SP,2008,7350267.58,3521804
189,189,SP,2009,7964801.31,3521804
190,190,SP,2010,8536256.98,3521804
191,191,SP,2011,10524321.64,3521804
192,192,SP,2012,10830907.19,3521804
193,193,SP,2013,11625629.77,3521804
194,194,SP,2014,12458497.13,3521804
195,195,SP,2015,13231356.53,3521804
196,196,SP,2016,15413298.84,3521804
197,197,SP,2017,5576805.16,3521804
198,198,SP,2000,1133586.92,3524501
199,199,SP,2001,1319153.75,3524501
200,200,SP,2002,1621889.46,3524501
201,201,SP,2003,1682438.89,3524501
202,202,SP,2004,1849823.02,3524501
203,203,SP,2005,2293063.2,3524501
204,204,SP,2006,2526015.23,3524501
205,205,SP,2007,2900253.29,3524501
206,206,SP,2008,3675134.0,3524501
207,207,SP,2009,3413486.54,3524501
208,208,SP,2010,3658396.04,3524501
209,209,SP,2011,4510423.84,3524501
210,210,SP,2012,4641817.54,3524501
211,211,SP,2013,4982412.95,3524501
212,212,SP,2014,5339356.05,3524501
213,213,SP,2015,5670581.59,3524501
214,214,SP,2016,6605699.72,3524501
215,215,SP,2017,2390059.39,3524501
216,216,SP,2000,5290070.62,3526704
217,217,SP,2001,5939150.82,3526704
218,218,SP,2002,7566791.41,3526704
219,219,SP,2003,7851131.6,3526704
220,220,SP,2004,8632505.24,3526704
221,221,SP,2005,10700959.51,3526704
222,222,SP,2006,11788069.19,3526704
223,223,SP,2007,13534513.45,3526704
224,224,SP,2008,17150623.78,3526704
225,225,SP,2009,15929602.26,3526704
226,226,SP,2010,17072513.64,3526704
227,227,SP,2011,22552117.59,3526704
228,228,SP,2012,23209086.5,3526704
229,229,SP,2013,24912063.41,3526704
230,230,SP,2014,26696779.26,3526704
231,231,SP,2015,28352906.51,3526704
232,232,SP,2016,33028497.23,3526704
233,233,SP,2017,11950296.51,3526704
234,234,SP,2000,4534346.39,3527108
235,235,SP,2001,5276613.21,3527108
236,236,SP,2002,6487556.35,3527108
237,237,SP,2003,6729753.8,3527108
238,238,SP,2004,7399290.29,3527108
239,239,SP,2005,9172251.09,3527108
240,240,SP,2006,10104059.36,3527108
241,241,SP,2007,12567438.59,3527108
242,242,SP,2008,14700534.75,3527108
243,243,SP,2009,14791773.53,3527108
244,244,SP,2010,15853048.4,3527108
245,245,SP,2011,19545168.65,3527108
246,246,SP,2012,20114541.71,3527108
247,247,SP,2013,21590454.97,3527108
248,248,SP,2014,23137208.69,3527108
249,249,SP,2015,24572518.96,3527108
250,250,SP,2016,28624697.61,3527108
251,251,SP,2017,10356923.66,3527108
252,252,SP,2000,9590725.74,3529401
253,253,SP,2001,11135192.08,3529401
254,254,SP,2002,13731100.18,3529401
255,255,SP,2003,14202643.27,3529401
256,256,SP,2004,15824523.23,3529401
257,257,SP,2005,19641666.83,3529401
258,258,SP,2006,21722490.34,3529401
259,259,SP,2007,24621739.12,3529401
260,260,SP,2008,30225236.72,3529401
261,261,SP,2009,27903444.21,3529401
262,262,SP,2010,29845390.53,3529401
263,263,SP,2011,37663437.49,3529401
264,264,SP,2012,37613235.05,3529401
265,265,SP,2013,41513170.97,3529401
266,266,SP,2014,44348099.73,3529401
267,267,SP,2015,46887692.54,3529401
268,268,SP,2016,54595012.11,3529401
269,269,SP,2017,19778349.7,3529401
270,270,SP,2000,4686002.31,3555000
271,271,SP,2001,5478418.27,3555000
272,272,SP,2002,6725154.16,3555000
273,273,SP,2003,6906569.59,3555000
274,274,SP,2004,7511752.3,3555000
275,275,SP,2005,9227363.91,3555000
276,276,SP,2006,10066045.95,3555000
277,277,SP,2007,11431845.94,3555000
278,278,SP,2008,14700534.75,3555000
279,279,SP,2009,13653944.84,3555000
280,280,SP,2010,14633583.12,3555000
281,281,SP,2011,18041694.11,3555000
282,282,SP,2012,18567269.27,3555000
283,283,SP,2013,19929650.74,3555000
284,284,SP,2014,21357423.38,3555000
285,285,SP,2015,22682325.2,3555000
286,286,SP,2016,26422797.8,3555000
287,287,SP,2017,9560237.25,3555000
288,288,SP,2000,1133586.92,3533809
289,289,SP,2001,1319153.75,3533809
290,290,SP,2002,1621889.46,3533809
291,291,SP,2003,1682438.89,3533809
292,292,SP,2004,1849823.02,3533809
293,293,SP,2005,2293063.2,3533809
294,294,SP,2006,2526015.23,3533809
295,295,SP,2007,2900253.29,3533809
296,296,SP,2008,3675134.0,3533809
297,297,SP,2009,3413486.54,3533809
298,298,SP,2010,3658396.04,3533809
299,299,SP,2011,4510423.84,3533809
300,300,SP,2012,4641817.54,3533809
301,301,SP,2013,4982412.95,3533809
302,302,SP,2014,5339356.05,3533809
303,303,SP,2015,5670581.59,3533809
304,304,SP,2016,6605699.72,3533809
305,305,SP,2017,2390059.39,3533809
306,306,SP,2000,2645035.65,3500303
307,307,SP,2001,3078024.59,3500303
308,308,SP,2002,3784408.05,3500303
309,309,SP,2003,3925689.89,3500303
310,310,SP,2004,4316252.84,3500303
311,311,SP,2005,6107929.3,3500303
312,312,SP,2006,6733634.22,3500303
313,313,SP,2007,7734007.92,3500303
314,314,SP,2008,8575312.03,3500303
315,315,SP,2009,9102630.01,3500303
316,316,SP,2010,9755722.25,3500303
