date;interest;mortgage
2000-01-01;0.0146;0.0139
2000-02-01;0.0145;0.0139
2000-03-01;0.0145;0.0139
2000-04-01;0.013;0.0139
2000-05-01;0.0149;0.0139
2000-06-01;0.0139;0.0139
2000-07-01;0.0131;0.0139
2000-08-01;0.0141;0.0139
2000-09-01;0.0122;0.0139
2000-10-01;0.0129;0.0139
2000-11-01;0.0122;0.0139
2000-12-01;0.012;0.0139
2001-01-01;0.0127;0.0139
2001-02-01;0.0102;0.0139
2001-03-01;0.0126;0.0139
2001-04-01;0.0119;0.0139
2001-05-01;0.0134;0.0139
2001-06-01;0.0127;0.0139
2001-07-01;0.015;0.0139
2001-08-01;0.016;0.0139
2001-09-01;0.0132;0.0139
2001-10-01;0.0153;0.0139
2001-11-01;0.0139;0.0139
2001-12-01;0.0139;0.0139
2002-01-01;0.0153;0.0139
2002-02-01;0.0125;0.0139
2002-03-01;0.0137;0.0139
2002-04-01;0.0148;0.0139
2002-05-01;0.0141;0.0139
2002-06-01;0.0133;0.0139
2002-07-01;0.0154;0.0139
2002-08-01;0.0144;0.0139
2002-09-01;0.0138;0.0139
2002-10-01;0.0165;0.0139
2002-11-01;0.0154;0.0139
2002-12-01;0.0174;0.0139
2003-01-01;0.0197;0.0139
2003-02-01;0.0183;0.0139
2003-03-01;0.0178;0.0139
2003-04-01;0.0187;0.0139
2003-05-01;0.0197;0.0139
2003-06-01;0.0186;0.0139
2003-07-01;0.0208;0.0139
2003-08-01;0.0177;0.0139
2003-09-01;0.0168;0.0139
2003-10-01;0.016399999999999998;0.0139
2003-11-01;0.0134;0.0139
2003-12-01;0.0137;0.0139
2004-01-01;0.0127;0.0139
2004-02-01;0.0108;0.0139
2004-03-01;0.0138;0.0139
2004-04-01;0.0118;0.0139
2004-05-01;0.0123;0.0139
2004-06-01;0.0123;0.0139
2004-07-01;0.0129;0.0139
2004-08-01;0.0129;0.0139
2004-09-01;0.0125;0.0139
2004-10-01;0.0121;0.0139
2004-11-01;0.0125;0.0139
2004-12-01;0.0148;0.0139
2005-01-01;0.0138;0.0139
2005-02-01;0.0122;0.0139
2005-03-01;0.0153;0.0139
2005-04-01;0.0141;0.0139
2005-05-01;0.015;0.0139
2005-06-01;0.0159;0.0139
2005-07-01;0.0151;0.0139
2005-08-01;0.0166;0.0139
2005-09-01;0.015;0.0139
2005-10-01;0.0141;0.0139
2005-11-01;0.0138;0.0139
2005-12-01;0.0147;0.0139
2006-01-01;0.0143;0.0139
2006-02-01;0.0115;0.0139
2006-03-01;0.0142;0.0139
2006-04-01;0.0108;0.0139
2006-05-01;0.0128;0.0139
2006-06-01;0.0118;0.0139
2006-07-01;0.0117;0.0139
2006-08-01;0.0126;0.0139
2006-09-01;0.0106;0.0139
2006-10-01;0.0109;0.0139
2006-11-01;0.0102;0.0139
2006-12-01;0.0099;0.0139
2007-01-01;0.0108;0.0139
2007-02-01;0.0087;0.0139
2007-03-01;0.0105;0.0139
2007-04-01;0.0094;0.0139
2007-05-01;0.0103;0.0139
2007-06-01;0.0091;0.0139
2007-07-01;0.0097;0.0139
2007-08-01;0.0099;0.0139
2007-09-01;0.008;0.0139
2007-10-01;0.0093;0.0139
2007-11-01;0.0084;0.0139
2007-12-01;0.0084;0.0139
2008-01-01;0.0093;0.0139
2008-02-01;0.008;0.0139
2008-03-01;0.0084;0.0139
2008-04-01;0.009000000000000001;0.0139
2008-05-01;0.0088;0.0139
2008-06-01;0.0096;0.0139
2008-07-01;0.0107;0.0139
2008-08-01;0.0102;0.0139
2008-09-01;0.011;0.0139
2008-10-01;0.0118;0.0139
2008-11-01;0.0102;0.0139
2008-12-01;0.011200000000000002;0.0139
2009-01-01;0.0105;0.0139
2009-02-01;0.0086;0.0139
2009-03-01;0.0097;0.0139
2009-04-01;0.0084;0.0139
2009-05-01;0.0077;0.0139
2009-06-01;0.0076;0.0139
2009-07-01;0.0079;0.0139
2009-08-01;0.0069;0.0139
2009-09-01;0.0069;0.0139
2009-10-01;0.0069;0.0139
2009-11-01;0.0066;0.0139
2009-12-01;0.0073;0.0139
2010-01-01;0.0066;0.0139
2010-02-01;0.0059;0.0139
2010-03-01;0.0076;0.0139
2010-04-01;0.0067;0.0139
2010-05-01;0.0075;0.0139
2010-06-01;0.0079;0.0139
2010-07-01;0.0086;0.0139
2010-08-01;0.0089;0.0139
2010-09-01;0.0085;0.0139
2010-10-01;0.008100000000000001;0.0139
2010-11-01;0.008100000000000001;0.0139
2010-12-01;0.0093;0.0139
2011-01-01;0.0086;0.0139
2011-02-01;0.0084;0.0139
2011-03-01;0.0092;0.0139
2011-04-01;0.0084;0.0141
2011-05-01;0.0099;0.0149
2011-06-01;0.0096;0.0147
2011-07-01;0.0097;0.015
2011-08-01;0.0107;0.0149
2011-09-01;0.0094;0.0145
2011-10-01;0.0088;0.0145
2011-11-01;0.0086;0.0139
2011-12-01;0.0091;0.0136
2012-01-01;0.0089;0.0136
2012-02-01;0.0075;0.0134
2012-03-01;0.008199999999999999;0.0131
2012-04-01;0.0071;0.0124
2012-05-01;0.0074;0.011
2012-06-01;0.0064;0.0097
2012-07-01;0.0068000000000000005;0.0095
2012-08-01;0.0069;0.0099
2012-09-01;0.0054;0.0104
2012-10-01;0.0061;0.0105
2012-11-01;0.0055000000000000005;0.0106
2012-12-01;0.0055000000000000005;0.0102
2013-01-01;0.006;0.0101
2013-02-01;0.0049;0.01
2013-03-01;0.0055000000000000005;0.0097
2013-04-01;0.0061;0.0097
2013-05-01;0.006;0.0095
2013-06-01;0.0061;0.0094
2013-07-01;0.0072;0.0097
2013-08-01;0.0071;0.0097
2013-09-01;0.0071;0.0099
2013-10-01;0.008100000000000001;0.0101
2013-11-01;0.0072;0.011
2013-12-01;0.0079;0.0109
2014-01-01;0.0085;0.0118
2014-02-01;0.0079;0.0113
2014-03-01;0.0077;0.0129
2014-04-01;0.008199999999999999;0.0122
2014-05-01;0.0087;0.0111
2014-06-01;0.008199999999999999;0.0108
2014-07-01;0.0095;0.0111
2014-08-01;0.0087;0.0109
2014-09-01;0.0091;0.0106
2014-10-01;0.0095;0.0105
2014-11-01;0.0084;0.0105
2014-12-01;0.0096;0.0096
2015-01-01;0.0094;0.0098
2015-02-01;0.008199999999999999;0.0102
2015-03-01;0.0104;0.0105
2015-04-01;0.0095;0.0103
2015-05-01;0.0099;0.0111
2015-06-01;0.0107;0.0115
2015-07-01;0.0118;0.0116
2015-08-01;0.0111;0.0114
2015-09-01;0.0111;0.0117
2015-10-01;0.0111;0.0117
2015-11-01;0.0106;0.0118
2015-12-01;0.0116;0.0111
