;AREAP;qual;perc_qual_AP
0;1302603999001;1;0.2050448913319421
2;1302603999001;2;0.027815349249902328
3;1302603999001;3;0.04215943645956188
4;1302603999001;4;0.08013428665600304
5;1302603999001;5;0.058440028230658615
6;1302603999001;6;0.040744818417325065
7;1302603999001;7;0.05147807083482036
8;1302603999001;8;0.07941350288616604
9;1302603999001;9;0.03436520555471367
10;1302603999001;10;0.03843495797785845
11;1302603999001;11;0.23171378346525884
12;1302603999001;12;0.013592202984362431
13;1302603999001;13;0.012843168409221948
14;1302603999001;14;0.016923402436126535
15;1302603999001;15;0.036348136367265825
16;1302603999001;16;0.02004943982576688
17;1302603999001;17;0.01049931891304609
20;1302603999002;1;0.2115100309884259
22;1302603999002;2;0.03228334945018158
23;1302603999002;3;0.05924305410901542
24;1302603999002;4;0.09184806513815691
25;1302603999002;5;0.05985732149850915
26;1302603999002;6;0.041199592936118676
27;1302603999002;7;0.05664822604743593
28;1302603999002;8;0.0796590679347849
29;1302603999002;9;0.040338634031791866
30;1302603999002;10;0.03982840343318208
31;1302603999002;11;0.22397730872765795
32;1302603999002;12;0.008076077475593751
33;1302603999002;13;0.009075633930148161
34;1302603999002;14;0.008374305345080576
35;1302603999002;15;0.023341127273486677
36;1302603999002;16;0.009510159121976874
37;1302603999002;17;0.0052296425584535
40;1302603999003;1;0.25671699998567954
42;1302603999003;2;0.03971912627941178
43;1302603999003;3;0.053647012866085586
44;1302603999003;4;0.07489133629148319
45;1302603999003;5;0.07159291561545686
46;1302603999003;6;0.052489673026370316
47;1302603999003;7;0.0618867149003919
48;1302603999003;8;0.08011302020935147
49;1302603999003;9;0.04389636067564479
50;1302603999003;10;0.031922451912658356
51;1302603999003;11;0.20141325250951037
52;1302603999003;12;0.0078170138402191
53;1302603999003;13;0.0033409058703623793
54;1302603999003;14;0.0038171546188055954
55;1302603999003;15;0.013090014243844442
56;1302603999003;16;0.0029951018798297442
57;1302603999003;17;0.0006509452748946525
60;1302603999004;1;0.24711315545728804
62;1302603999004;2;0.04010406459328706
63;1302603999004;3;0.04781727137717094
64;1302603999004;4;0.08777339860595924
65;1302603999004;5;0.06298556118554405
66;1302603999004;6;0.05635133391141314
67;1302603999004;7;0.0541774313118598
68;1302603999004;8;0.09778938807775132
69;1302603999004;9;0.04760381415311826
70;1302603999004;10;0.04280042943139759
71;1302603999004;11;0.17746180113284996
72;1302603999004;12;0.007769005122931456
73;1302603999004;13;0.007710318460990581
74;1302603999004;14;0.0060738936284791024
75;1302603999004;15;0.011249029458927869
76;1302603999004;16;0.0031291866190656507
77;1302603999004;17;0.00209091747196576
80;1302603999005;1;0.25405237118963
82;1302603999005;2;0.03785010859433013
83;1302603999005;3;0.05009116238205895
84;1302603999005;4;0.07979589556320485
85;1302603999005;5;0.07206993967515402
86;1302603999005;6;0.04715091964901423
87;1302603999005;7;0.040627560150554055
88;1302603999005;8;0.07978053532656795
89;1302603999005;9;0.04841810228900231
90;1302603999005;10;0.03501763868541792
91;1302603999005;11;0.19477558891936747
92;1302603999005;12;0.009672703186006047
93;1302603999005;13;0.008312893212658512
94;1302603999005;14;0.005671531912161
95;1302603999005;15;0.018292388603562994
96;1302603999005;16;0.009240995006720631
97;1302603999005;17;0.009179665654589178
100;1302603999006;1;0.3059302943849725
102;1302603999006;2;0.05037649708591985
103;1302603999006;3;0.060048594605133086
104;1302603999006;4;0.0924030593782284
105;1302603999006;5;0.0830003203168396
106;1302603999006;6;0.0579571831847957
107;1302603999006;7;0.06222781362861128
108;1302603999006;8;0.07532331261340146
109;1302603999006;9;0.03485916084635881
110;1302603999006;10;0.026309897568411664
111;1302603999006;11;0.12847469894459343
112;1302603999006;12;0.0042461554721884304
113;1302603999006;13;0.00257305797497946
114;1302603999006;14;0.003058056819870979
115;1302603999006;15;0.008104104130486863
116;1302603999006;16;0.0037398093811015706
117;1302603999006;17;0.0013679836641067008
120;1302603999007;1;0.2579555311089415
122;1302603999007;2;0.03946012287167954
123;1302603999007;3;0.061340626210655703
124;1302603999007;4;0.08432372617490785
125;1302603999007;5;0.07285944109863836
126;1302603999007;6;0.0457026991780567
127;1302603999007;7;0.055861206658433256
128;1302603999007;8;0.08772751218723084
129;1302603999007;9;0.044144007900323995
130;1302603999007;10;0.03400498608933144
131;1302603999007;11;0.18275709884730584
132;1302603999007;12;0.006410972578374153
133;1302603999007;13;0.0056008545920774935
134;1302603999007;14;0.004273900863300055
135;1302603999007;15;0.009098007794373898
136;1302603999007;16;0.006874984519308132
137;1302603999007;17;0.001604321327061153
140;1302603999008;1;0.27210692008034515
142;1302603999008;2;0.042973233006331525
143;1302603999008;3;0.05274142110783913
144;1302603999008;4;0.0871145264165302
145;1302603999008;5;0.07773272100012715
