idx;mun_code
0;1501501
1;1504422
2;1600600
3;2107506
4;2109452
5;2203305
6;2301901
7;2304285
8;2306256
9;2309706
10;2403608
11;2408201
12;2412203
13;2503209
14;2504900
15;2508307
16;2605202
17;2607604
18;2607752
19;2609402
20;2610608
21;2702207
22;2707701
23;2707909
24;2708907
25;2800605
26;2803609
27;2804003
28;2806701
29;2906501
30;2910057
31;2916104
32;2919926
33;2921005
34;2929206
35;2929503
36;3109006
37;3110004
38;3112505
39;3115904
40;3117876
41;3124104
42;3130101
43;3131158
44;3136652
45;3137601
46;3140159
47;3140704
48;3140803
49;3141108
50;3144805
51;3149309
52;3153608
53;3153905
54;3154804
55;3158953
56;3162922
57;3162955
58;3165537
59;3168705
60;3171204
61;3205101
62;3301850
63;3302601
64;3303609
65;3303955
66;3304003
67;3501152
68;3502754
69;3502903
70;3503901
71;3504602
72;3506359
73;3507001
74;3507100
75;3508405
76;3509007
77;3509205
78;3509601
79;3511300
80;3512803
81;3517505
82;3518305
83;3521002
84;3524006
85;3524709
86;3525102
87;3526209
88;3527306
89;3528403
90;3528502
91;3530300
92;3531100
93;3531803
94;3532009
95;3532405
96;3533403
97;3536505
98;3537107
99;3538600
100;3539103
101;3540606
102;3544103
103;3545308
104;3546801
105;3547304
106;3549953
107;3551504
108;3554805
109;3556453
110;3556701
111;4104006
112;4104253
113;4107652
114;4107900
115;4109807
116;4111258
117;4114203
118;4114807
119;4117503
120;4120804
121;4122206
122;4122404
123;4201307
124;4202305
125;4205803
126;4206009
127;4206504
128;4212304
129;4215703
130;4217402
131;4300877
132;4303905
133;4304689
134;4306403
135;4306767
136;4307609
137;4307906
138;4310801
139;4311627
140;4312476
141;4313375
142;4314803
143;5200050
144;5205497
145;5208806
146;5214507
147;5215231
148;5215603
149;5217609
150;5219753
151;5220454
